,place,lat,lon
0,the Columbia River,45.6236202,-122.6800772
1,Edinboro,41.8742225,-80.1317236
2,Everest,39.6772236,-95.4247001
3,Presidentof,,
4,G.I.,50.0618252,14.3852288
5,Northern Ireland,54.5859836,-6.9591554
6,Boston Harbor,42.3417649,-70.9661596
7,Haiti,19.1399952,-72.3570972
8,the Mannah River,,
9,Dingley,52.4823468,-0.8706698
10,the Cherokee Strip,,
11,Anchorage,61.2163129,-149.894852
12,Massachusetts Bay,42.3750987,-70.7494879
13,Mount McKinley,63.069115,-151.006239
14,Thor,42.6899,-94.0495254
15,the Middle and Western States,,
16,the Northern States,15.1948747,145.7187155
17,Sea,47.4475673,-122.3080159
18,the Black Hills,-44.1169199,169.9643628
19,the State of South Carolina,32.7766075,-79.9313079
20,Sisseton,45.664557,-97.049791
21,the Persian Empire,52.9546334,-1.152612
22,the North Atlantic Coast,13.7201281,-84.7725767
23,Sibutd,,
24,Newton,30.8118989,-93.740504
25,"Washington, DC",38.8950368,-77.0365427
26,Greenwich,51.4820845,-0.0045417
27,message.</span,,
28,the South Viet-Nam,-22.2595394,166.4465984
29,the Helping America's,,
30,New-Jersey,40.0757384,-74.4041622
31,West Germany,50.0980311,8.5463351
32,the Kingdom of Laos,,
33,St. Marys,41.3081707,-93.7318728
34,parties.</span,,
35,Quinnipiac,41.4334306,-72.8339888
36,the new Republic,38.9121348,-77.0407219
37,Geneva,46.2017559,6.1466014
38,the U. S. S. Scorpion,,
39,Deficits,56.9429572,24.1247784
40,Sultan,47.862282,-121.814731
41,Southern Russia,54.0,58.0
42,West Berlin,39.809686,-74.9441507
43,materials.</span,,
44,the Black Sea Straits,,
45,Glacier Creek,63.3562336,-150.377284
46,Florence,43.7697955,11.2556404
47,thePotomac River,,
48,Melania,-33.5527733,-70.6716767
49,Hague,52.0799838,4.3113461
50,Selma,32.4078632,-87.0207473
51,St. Johns,17.1184569,-61.8448509
52,>Illinois,40.0796606,-89.4337288
53,the South Atlantic Ocean,39.9444147,-74.1939894
54,the Republic of San Domingo,18.471059,-69.905719
55,the North Pacific Ocean,,
56,Lauren,47.1846496,-91.6976744
57,peace&nbsp;and,,
58,Nueces,27.7153774,-97.6199942
59,Phoenix,33.4484367,-112.074141
60,Fla.,27.7567667,-81.4639835
61,Western Lands,6.8721908,79.9872947
62,Awwww,,
63,United States.</span,37.7779908,-122.3998298
64,the Netherlands,52.2434979,5.6343227
65,San Domingo,13.3382274,-16.3856349
66,Orient,41.2030494,-94.4166453
67,Coral Gables,25.7331105,-80.2585107
68,people.&nbsp;Any,,
69,New Granada,14.6134776,121.0349106
70,Tyler,32.3512601,-95.3010624
71,Abroad,25.2509805,51.4510938
72,the South Lawn,38.895848,-77.0365443
73,the Boise Valley,43.5753752,-116.1461272
74,the Tennesee River,,
75,Izyum,49.1913202,37.2784093
76,battle.</span,,
77,Aquino,41.491119,13.70471
78,Yakutsk,62.0274078,129.7319787
79,Helen,34.7009043,-83.7294546
80,Matsu,31.1737163,104.1215695
81,Felipe Scandella,,
82,Amherst,42.3731948,-72.5198761
83,the Soviet Empire,,
84,Idaho,43.6447642,-114.015407
85,Peru,-6.8699697,-75.0458515
86,Pacific Ocean,-0.703107,-120.9375
87,HAITI,19.1399952,-72.3570972
88,Western Territories,22.3829945,114.1241911
89,the sea coast,-1.6928847,41.5285679
90,the Tonkin Gulf,,
91,East Florida,26.5043648,-81.9422127
92,Union.</span><br><br><span,,
93,the States or Territories,,
94,Atlantic Seaboard,38.9566279,-78.0241368
95,AI,18.1954947,-63.0750234
96,Chechnya,43.4,45.7
97,the Canal Zone,47.2063834,-1.5643499
98,the Sabine River,29.9160349,-95.699332
99,Bannocks,55.4161208,-5.6070973
100,the Greater Republic,-27.4544979,153.0362053
101,the Sulu Islands,,
102,the Czech Republic,38.9393111,-77.0540921
103,the Southern States,39.2047185,-76.0524407
104,Western Europe.</span,,
105,n’t,37.9456724,23.7139908
106,a Western Hemisphere,-52.6008436,-69.3267581
107,deal.&nbsp;And,,
108,Dumbarton Oaks,38.9140614,-77.0635269
109,the Pescadores Island,,
110,Madrid,40.416782,-3.703507
111,Northern Illinois,41.8137876,-88.0662396
112,San Diego.&nbsp,,
113,the Mosquito Strip,,
114,Yugoslavia,-16.1479939,-68.241578
115,West Indies,0.5173804,35.2612102
116,Simonoseki,33.9577116,130.9415455
117,Krasnoyarsk,56.0091173,92.872586
118,the Baltic Sea,60.1869927,24.8949105
119,the Pacific Islands,1.334568,173.0130386
120,say.</span,,
121,Us,39.7837304,-100.445882
122,East Africa,57.719512,11.94776
123,Kazakhstan,48.1012954,66.7780818
124,west line,38.6322335,-94.5841213
125,San Antonio,29.4246002,-98.4951405
126,Greenwood,37.8709542,-96.2471338
127,Center Rock,42.7188747,-89.1900886
128,taxes&nbsp;at,,
129,Amistad,40.6246251,-3.1650948
130,Kishenef,,
131,New Delhi,28.6138954,77.2090057
132,Cavally,6.3032154,-7.5732829
133,the German States,50.8427645,4.3753613
134,Norfolk,52.666667,1.0
135,the Pacific area,49.266955,-123.2585002
136,Georgia,32.3293809,-83.1137366
137,Executive,50.8562215,4.3600249
138,Turkey,39.294076,35.2316631
139,Columbine,39.5818665,-105.0694424
140,Central and South America,44.5720049,-116.674329
141,"enemies,&nbsp;and",,
142,Olongapo,14.8314675,120.2835205
143,colorado,38.7251776,-105.607716
144,"West Point,",41.3951027,-73.9550092
145,Sinai,44.244415,-97.040895
146,San Juan,18.465299,-66.116666
147,before.</span,,
148,henequen,9.2711926,-74.8307843
149,the United State,40.7491134,-73.9794078
150,North Germany,52.404887,9.7123728
151,the Virginia Peninsula,36.9050002,-76.0567724
152,Senegal,14.4750607,-14.4529612
153,Delagoa Bay,-25.9833333,32.7
154,the Bay of,7.4929263,-58.7794688
155,E1 Paso,14.7082959,120.9928104
156,the Pacific Ocean America,33.7657368,-118.1820791
157,Topeka,39.049011,-95.677556
158,Charleston Harbor,32.763788,-79.8973093
159,Broward County,26.1571312,-80.4549969
160,Iraq,33.0955793,44.1749775
161,Executive.&nbsp,,
162,Thereupon Nicaragua,,
163,South Carolina,33.6874388,-80.4363743
164,St. Georges Island,-42.0943077,147.1573179
165,the Ozama River,,
166,California,36.7014631,-118.755997
167,Ultimately,35.8727054,14.5184053
168,Walgreen,29.5912848,-95.4698381
169,Amman,31.9515694,35.9239625
170,Pacific sea,-45.0,-130.0
171,Eisenhower,50.8051667,14.22075
172,Central America,-30.2929528,153.1258582
173,Northern France,48.9431083,7.4603168
174,the U. S. of A.,17.7001059,-64.8018288
175,the Islamic Republic of Iran,52.1014931,4.2877583
176,Atlanta,33.7544657,-84.3898151
177,the Taiwan Straits,,
178,Mecca,21.420847,39.826869
179,Democratsin,,
180,Passamaquoddy,45.0791388,-66.9785529
181,Maintaining,40.4101759,-104.7282484
182,the Republic of Nicaragua,12.0967387,-86.2261956
183,the United States-Mexican Boundary Commission,,
184,North and South Viet-Nam,,
185,the west coast of,1.3125266,103.7550549
186,Barnharts Island,,
187,Cotulla,28.4358692,-99.2350791
188,Luzerne County,41.1749635,-75.9695233
189,the Republic through,36.5441885,-118.0485395
190,"States,&#39",44.6327678,-63.6819675
191,the Great Lakes,27.6761122,-97.4197993
192,Arctic,25.2291463,55.1385759
193,the States of New England,40.3347918,-79.9269945
194,Ghani,26.5902984,70.7408347
195,justice:&nbsp,,
196,Alan?&nbsp,,
197,Watts,33.9405897,-118.2428984
198,the Gulf States,26.2026751,50.5875003
199,the State of Mississippi,-37.9152908,145.237642
200,the Executive Mansion,37.5407121,-77.4296017
201,the Capital City,43.5877381,-79.6455502
202,Crescent City,41.7522404,-124.1978539
203,Visas,6.5103326,2.6438828
204,Accomac,37.7193734,-75.6708885
205,change:&nbsp,,
206,Varna,43.2073873,27.9166653
207,earth,34.2331373,-102.4107493
208,Hello,45.41811,10.0752034
209,world.&nbsp;In,,
210,basis.</span,,
211,Ft. Bragg,35.140311,-79.1541465
212,the North Polar,62.4316488,-114.4348394
213,New Covenant,40.6224637,-75.3777777
214,Lucas Cabellero,,
215,unc-—and,50.6017604,3.0698488
216,withernam,,
217,improvements.</span,,
218,"North and South, East",53.2320906,-0.7751368
219,tests.&nbsp,,
220,Conference,12.1603548,-61.6173921
221,States.</span,,
222,Eurasia,52.4780337,13.4270146
223,the Atchafalaya River,30.3283389,-91.6942562
224,San Juan Island,48.537089,-123.0907204
225,Zanesville,39.9401426,-82.005019
226,the Mid East,55.4142529,-2.201099
227,Houlton,46.1251286,-67.8407944
228,Washita,35.2917033,-98.9966972
229,the States of Kentucky,38.0266291,-84.5047222
230,Vietcong,48.8908882,18.6862322
231,the Atrato River,,
232,Throckmorton,33.1571081,-99.2017838
233,St. Patrick's Day,52.0460887,-0.7467986
234,San Juan de Ulloa,40.1140789,-3.3964665
235,Jupiter,26.9342246,-80.0942087
236,North and,51.7705393,-1.9237746
237,Southampton,50.9025349,-1.404189
238,St. Peter,48.01786,8.0358335
239,South Sudan,7.8699431,29.6667897
240,Untold,45.5177499,-122.6830756
241,the United States Coast and Geodetic Survey,,
242,Omaha City,14.5945832,120.9667365
243,Rebecca,31.8065688,-83.4868295
244,the North Atlantic,35.365687,-86.2126283
245,Balize,50.5353831,-64.5231236
246,the Empire of Morocco,,
247,the Atlantic Coast,50.5284635,-4.8913109
248,Hue,16.4639321,107.5863388
249,The United Kingdom,52.4577754,-1.8692099
250,the Passamaquoddy Bay,45.0791388,-66.9785529
251,Constitutionit,,
252,God.&nbsp,,
253,The Republic of New Granada,,
254,Pasco,28.2996183,-82.4522702
255,Montreal,45.5031824,-73.5698065
256,the Papal States,,
257,Charlestown,42.3778749,-71.0619957
258,Portsmouth,50.800031,-1.0906023
259,the Republic of Peru,38.9077238,-77.0387354
260,Atlantic,39.5143268,-74.6632883
261,the Kingdom of Denmark,55.7526728,12.5582645
262,South-Carolina,33.6874388,-80.4363743
263,the Territories of Colorado,,
264,A.D.,45.5371719,12.1713559
265,Sonora,29.3333331,-110.6666671
266,this Republic of the United States of America,41.3270791,-74.8100003
267,Natoma,39.1896507,-99.0239964
268,League,39.2923,-81.0984446
269,Lake Memphramagog,,
270,Mozambique,-19.302233,34.9144977
271,anything.&nbsp;Iran,,
272,the Northern District,39.7615787,-104.9892799
273,the Grand Princess,51.5057499,-0.1865546
274,Albania,41.000028,19.9999619
275,These United States,40.5358837,-74.5895895
276,Rock Creek,33.4767114,-87.0804092
277,war.</span,,
278,"Commandment—""Thou",,
279,Columbia River Basin,49.1549801,-121.639075
280,St. Regis,40.7612458,-73.9743323
281,District of Columbia,38.8950368,-77.0365427
282,Florida,27.7567667,-81.4639835
283,Rock Creek Park,38.9618531,-77.0457383
284,Fort Atkinson,43.1433382,-91.9326637
285,Massachusetts,42.3788774,-72.032366
286,Berkeley,37.8708393,-122.272863
287,Lake Michigan,43.8556466,-87.0818686
288,Djakarta,-6.1754049,106.827168
289,Hanover,52.3744779,9.7385532
290,Eluefields,,
291,the Geneva convention,,
292,the Mediterranean Sea,31.27717,16.020182
293,Potomac Park,39.6132845,-78.8077092
294,San Juan de Uloa,,
295,Homeland,33.7456205,-117.1077506
296,"the United States.<br />
Family",,
297,GREAT BRITAIN,54.3151594,-1.9181532
298,Western Europe,53.8603366,27.553006
299,income.</span,,
300,Los Angeles,34.0536909,-118.242766
301,the Hudsons Bay,-37.8290935,144.8815492
302,Imagine,51.7605779,19.4869381
303,Along,2.6897,95.7769
304,the Baltic States,,
305,Romania,45.9852129,24.6859225
306,Payton,37.8023108,-83.2990676
307,District,49.1473323,-122.6489767
308,Lithuania,55.3500003,23.7499997
309,"class=""s1"">I",48.0353348,5.3479181
310,Coney Island,40.5765081,-73.9929419
311,the New Orleans,-33.715531,18.9869513
312,Greensburg,40.3024514,-79.5443274
313,America.&nbsp;&nbsp;&nbsp,32.8478396,-97.1940112
314,Newport,41.4899827,-71.3137707
315,The Hague Tribunal,52.1003633,4.285897
316,onepart,,
317,Las Vegas!&nbsp,,
318,CENTRAL AMERICA-,-30.2929528,153.1258582
319,Scandinavia,44.4584557,-89.1467759
320,RV,21.2222313,76.0444182
321,a United States of Europe,,
322,Oman,21.0000287,57.0036901
323,ROTC.&nbsp,,
324,the Persian Gulf War,42.9409169,-70.7944375
325,Tientsin,39.0844897,117.1956724
326,T.R.,37.724127,-122.4761818
327,Vienna,48.2083537,16.3725042
328,the United States',47.8291375,-122.5970742
329,Monongahela,39.952475,-79.9556098
330,Luzon,15.5504104,120.7434436
331,Azerbaijan,40.3936294,47.7872508
332,the Black Canyon,13.5416949,101.0076229
333,Yangtsun,,
334,Culebra,18.3136776,-65.2826226
335,Alabama,33.2588817,-86.8295337
336,Pledge,47.6219014,-122.3539905
337,jail.&nbsp,,
338,Winnebago,42.3255276,-89.1496574
339,Atlantic City,39.3642852,-74.4229351
340,"the Republic of Panama.<br />
",,
341,the District of Columbia,38.8950368,-77.0365427
342,the Council Bluff,35.7902438,-86.3891286
343,The North Dakota,38.8898579,-77.0402961
344,West Berliners,,
345,The States of Virginia,37.3197653,-121.890125
346,the Philippine Islands,14.4564299,120.9944456
347,Antwerp,51.2211097,4.3997081
348,North Vietnam.<br,41.500058,-75.7107798
349,Biden,5.2290543,-1.0078989
350,the Asia-Pacific region,14.5801842,121.0608911
351,Cartel Island,48.8614135,2.3644564
352,South Viet-Nam's,,
353,Dardanelles,40.2091726,26.4413908
354,the Rio Grande,42.4891061,-2.4409022
355,the North end,52.3423144,-6.4649913
356,Rockville,39.0817985,-77.1516844
357,Red Rocks,-41.3576186,174.7270535
358,Mexico City,19.3207722,-99.1514678
359,Western Europe's,53.8603366,27.553006
360,Monroe,41.0400423,-75.3249475
361,Thailand,14.8971921,100.83273
362,Montenegro,42.7755624,19.2022423
363,Latin America,42.3739168,-71.1106677
364,esq.,51.4798168,-0.0564782
365,the Pacific ocean,33.7657368,-118.1820791
366,Nigeria,9.6000359,7.9999721
367,Talbot,32.6984691,-84.505404
368,New York's,40.7489457,-73.9680842
369,Livingston,40.8682487,-88.5631125
370,Brig,46.3163457,7.9879473
371,Bonn,50.7352621,7.1024635
372,The Republic of Uruguay,-34.8793995,-56.0536575
373,Allies,46.9482582,6.4463934
374,Madeira,32.7517501,-16.9817487
375,Aspinwall,41.9120574,-95.1354782
376,Liberia,5.7499721,-9.3658524
377,Mongolia,46.8250388,103.8499736
378,the Western Hemisphere.<br,,
379,the Detroit River,42.3593276,-82.9589126
380,Allentown,40.6022552,-75.4716115
381,civilization.</span,,
382,Christendom,52.2596702,-7.0985056
